Source	Target	Type	Weight
81	116	Undirected	1.0
81	152	Undirected	1.0
81	153	Undirected	1.0
81	185	Undirected	1.0
116	152	Undirected	1.0
116	153	Undirected	1.0
116	185	Undirected	23.0
152	153	Undirected	1.0
152	185	Undirected	1.0
153	185	Undirected	1.0
22	25	Undirected	5.0
22	54	Undirected	10.0
22	88	Undirected	1.0
22	92	Undirected	2.0
22	114	Undirected	11.0
22	133	Undirected	1.0
22	167	Undirected	2.0
22	173	Undirected	2.0
25	54	Undirected	40.0
25	88	Undirected	39.0
25	92	Undirected	27.0
25	114	Undirected	12.0
25	133	Undirected	9.0
25	167	Undirected	19.0
25	173	Undirected	13.0
54	88	Undirected	29.0
54	92	Undirected	29.0
54	114	Undirected	32.0
54	133	Undirected	10.0
54	167	Undirected	18.0
54	173	Undirected	16.0
88	92	Undirected	28.0
88	114	Undirected	7.0
88	133	Undirected	11.0
88	167	Undirected	12.0
88	173	Undirected	14.0
92	114	Undirected	4.0
92	133	Undirected	12.0
92	167	Undirected	13.0
92	173	Undirected	14.0
114	133	Undirected	4.0
114	167	Undirected	5.0
114	173	Undirected	6.0
133	167	Undirected	10.0
133	173	Undirected	12.0
167	173	Undirected	12.0
49	62	Undirected	2.0
49	136	Undirected	8.0
49	143	Undirected	1.0
49	168	Undirected	3.0
49	170	Undirected	17.0
62	136	Undirected	14.0
62	143	Undirected	8.0
62	168	Undirected	17.0
62	170	Undirected	7.0
136	143	Undirected	10.0
136	168	Undirected	23.0
136	170	Undirected	9.0
143	168	Undirected	9.0
143	170	Undirected	1.0
168	170	Undirected	4.0
15	17	Undirected	2.0
15	64	Undirected	2.0
15	99	Undirected	3.0
15	124	Undirected	6.0
15	127	Undirected	6.0
15	138	Undirected	2.0
15	140	Undirected	2.0
15	193	Undirected	6.0
17	64	Undirected	11.0
17	99	Undirected	11.0
17	124	Undirected	23.0
17	127	Undirected	3.0
17	138	Undirected	2.0
17	140	Undirected	2.0
17	193	Undirected	23.0
64	99	Undirected	4.0
64	124	Undirected	16.0
64	127	Undirected	2.0
64	138	Undirected	2.0
64	140	Undirected	2.0
64	193	Undirected	10.0
99	124	Undirected	14.0
99	127	Undirected	4.0
99	138	Undirected	2.0
99	140	Undirected	2.0
99	193	Undirected	11.0
124	127	Undirected	10.0
124	138	Undirected	2.0
124	140	Undirected	2.0
124	193	Undirected	16.0
127	138	Undirected	2.0
127	140	Undirected	2.0
127	193	Undirected	4.0
138	140	Undirected	2.0
138	193	Undirected	2.0
140	193	Undirected	2.0
25	70	Undirected	1.0
25	74	Undirected	7.0
25	116	Undirected	24.0
25	144	Undirected	6.0
25	146	Undirected	4.0
25	168	Undirected	1.0
25	181	Undirected	12.0
70	74	Undirected	1.0
70	116	Undirected	5.0
70	144	Undirected	2.0
70	146	Undirected	1.0
70	168	Undirected	5.0
70	181	Undirected	1.0
74	116	Undirected	14.0
74	144	Undirected	5.0
74	146	Undirected	3.0
74	168	Undirected	1.0
74	181	Undirected	3.0
116	144	Undirected	15.0
116	146	Undirected	15.0
116	168	Undirected	10.0
116	181	Undirected	16.0
144	146	Undirected	34.0
144	168	Undirected	10.0
144	181	Undirected	6.0
146	168	Undirected	5.0
146	181	Undirected	16.0
168	181	Undirected	1.0
53	69	Undirected	2.0
53	70	Undirected	1.0
53	75	Undirected	8.0
53	76	Undirected	3.0
53	85	Undirected	3.0
53	113	Undirected	19.0
53	114	Undirected	15.0
53	116	Undirected	4.0
53	117	Undirected	5.0
53	118	Undirected	4.0
53	144	Undirected	2.0
53	168	Undirected	2.0
53	187	Undirected	5.0
69	70	Undirected	1.0
69	75	Undirected	8.0
69	76	Undirected	5.0
69	85	Undirected	7.0
69	113	Undirected	4.0
69	114	Undirected	5.0
69	116	Undirected	9.0
69	117	Undirected	4.0
69	118	Undirected	17.0
69	144	Undirected	2.0
69	168	Undirected	1.0
69	187	Undirected	4.0
70	75	Undirected	1.0
70	76	Undirected	1.0
70	85	Undirected	1.0
70	113	Undirected	2.0
70	114	Undirected	2.0
70	117	Undirected	2.0
70	118	Undirected	4.0
70	187	Undirected	1.0
