Id,Label,Num,Val
1,acoustics,23,15766542
2,aerodynamics,50,51110961
3,ageing: chemistry/biochemistry,1,475926
4,algebra & geometry,131,69459955
5,analytical science,90,145977721
6,animal behaviour,1,506361
7,animal organisms,1,1581410
8,applied arts htp,1,6358107
9,artificial intelligence,146,231826208
10,assess/remediate contamination,3,4534982
11,asymmetric chemistry,11,13640958
12,atoms & ions,13,6214215
13,behavioural & experimental eco,1,1975496
14,biochemical engineering,6,18986493
15,bioelectronic devices,5,22042473
16,bioenergy,29,31787943
17,bioinformatics,16,52029825
18,biological & medicinal chem.,29,45503257
19,biological membranes,1,2215
20,biomaterials,81,101030647
21,biomechanics & rehabilitation,47,62830082
22,biomedical neuroscience,18,29394374
23,biomedical sciences,1,188407
24,biophysics,45,44234268
25,bioprocess engineering,19,29798746
26,building ops & management,33,67993377
27,carbohydrate chemistry,1,920060
28,carbon capture & storage,34,36659546
29,catalysis & applied catalysis,124,116914672
30,catalysis & enzymology,2,689340
31,cells,2,6116997
32,chemical biology,38,64182393
33,chemical structure,52,57198101
34,chemical synthetic methodology,72,101788856
35,civil engineering materials,31,19613822
36,climate & climate change,3,1750258
37,co-ordination chemistry,38,25587639
38,coal technology,1,6550555
39,coastal & waterway engineering,31,22329706
40,cognitive psychology,7,3369386
41,cognitive science appl. in ict,7,7657173
42,cold atomic species,23,30906872
43,combustion,33,27342322
44,complex fluids & soft solids,54,51883688
45,complexity science,38,77295542
46,composition,1,5971211
47,comput./corpus linguistics,14,6931002
48,computational linguistics,1,340421
49,computational methods & tools,1,98603
50,computer graphics & visual.,36,68214771
51,computer sys. & architecture,52,60302509
52,condensed matter physics,82,97207707
53,construction ops & management,13,24891070
54,continuum mechanics,57,56547841
55,control engineering,43,66051915
56,criminal law & criminology,3,5019737
57,criminology,5,5080147
58,data handling & storage,1,742513
59,design & testing technology,40,63777809
60,design engineering,36,54318218
61,design of process systems,52,97558106
62,design processes,14,22405461
63,development (biosciences),5,2325834
64,development geography,1,241076
65,developmental psychology,1,559077
66,diamond light source,1,1436518
67,digital art & design,4,18465875
68,digital arts htp,2,12062042
69,digital signal processing,61,74370433
70,displays,3,11749150
71,drug formulation & delivery,34,55765735
72,earth & environmental,1,1581410
73,earth engineering,1,1000951
74,economics,3,11015140
75,education,1,3444605
76,electric motor & drive systems,13,11263500
77,electrochemical science & eng.,31,30783229
78,electromagnetics,3,6188182
79,electronic devices & subsys.,72,123197049
80,energy - conventional,20,37659404
81,energy - marine & hydropower,27,34863003
82,energy - nuclear,79,77162994
83,energy efficiency,100,150990954
84,energy storage,65,71775478
85,eng. dynamics & tribology,30,36426390
86,environment & health,2,568459
87,environmental economics,1,2926
88,environmental planning,1,3567862
